id,standing ovation,mean,median,variance,standard deviation,sentence count
1735,1,18.38,17.0,146.98,12.12,130
3122,1,13.26,10.0,119.64,10.94,145
2228,1,20.78,17.0,234.4,15.31,91
504,1,15.42,14.0,95.32,9.76,172
3693,1,13.87,11.0,87.77,9.37,233
1084,1,10.78,9.0,55.42,7.44,145
2764,1,15.0,14.0,80.34,8.96,131
921,1,14.16,11.0,153.22,12.38,171
935,1,12.68,10.5,77.83,8.82,176
706,1,16.53,14.0,127.89,11.31,78
2176,1,19.1,17.0,149.13,12.21,133
2610,1,15.53,13.0,127.01,11.27,152
1480,1,18.58,14.0,207.71,14.41,121
2837,1,15.09,11.0,177.23,13.31,102
3042,1,20.66,20.0,110.7,10.52,77
3724,1,17.14,16.0,98.31,9.92,132
2374,1,12.99,12.0,65.52,8.09,209
470,1,17.66,16.0,131.18,11.45,170
1682,1,11.23,10.0,37.23,6.1,184
458,1,22.14,20.0,185.25,13.61,148
2413,1,18.59,15.0,148.72,12.2,105
2375,1,17.81,14.5,174.56,13.21,120
3731,1,14.97,13.0,88.8,9.42,256
667,1,18.25,17.0,106.32,10.31,110
115,1,12.01,8.0,138.76,11.78,264
2003,1,9.81,9.0,35.27,5.94,240
2759,1,19.35,18.0,187.85,13.71,107
1250,1,16.32,13.0,130.09,11.41,123
3692,1,16.11,14.0,136.99,11.7,91
2215,1,19.24,14.0,271.66,16.48,58
2567,1,12.92,10.0,92.68,9.63,223
3137,1,15.66,13.0,116.34,10.79,125
2229,1,17.74,16.0,82.77,9.1,81
3123,1,22.55,14.0,397.12,19.93,22
1736,1,10.56,9.0,58.38,7.64,121
3848,1,11.77,9.0,78.15,8.84,283
1939,1,16.6,11.5,303.25,17.41,120
261,1,25.13,23.0,292.77,17.11,101
3337,1,20.27,19.5,136.97,11.7,86
1508,1,14.98,11.0,153.38,12.38,126
2001,1,19.59,17.0,171.98,13.11,147
1454,1,18.99,18.0,144.65,12.03,79
3243,1,23.67,21.0,242.73,15.58,69
3525,1,20.16,18.0,174.33,13.2,140
1332,1,26.11,22.0,283.21,16.83,98
1642,1,12.03,11.0,57.87,7.61,62
2405,1,23.21,18.0,317.74,17.83,29
3069,1,14.49,13.0,96.34,9.82,71
1118,1,17.64,15.0,173.28,13.16,133
467,1,11.92,9.5,67.63,8.22,230
3082,1,22.9,20.0,206.95,14.39,117
3929,1,8.34,6.0,75.07,8.66,274
1694,1,15.16,11.0,161.6,12.71,154
658,1,18.09,18.0,77.47,8.8,93
2835,1,12.22,10.0,70.33,8.39,201
1482,1,16.7,14.0,112.59,10.61,165
1441,1,14.76,14.0,61.32,7.83,70
3487,1,13.13,11.0,78.62,8.87,244
3478,1,19.73,16.0,192.7,13.88,114
1509,1,13.56,10.0,108.78,10.43,273
3444,1,16.36,13.0,149.92,12.24,217
260,1,16.75,14.0,151.12,12.29,150
3685,1,17.42,15.0,107.94,10.39,106
1086,1,20.55,17.0,180.8,13.45,145
2558,1,13.53,12.0,79.64,8.92,257
2574,1,15.36,12.0,102.5,10.12,77
1069,1,16.48,15.0,136.54,11.68,140
3656,1,14.17,11.5,89.73,9.47,204
2548,1,8.86,7.0,58.79,7.67,375
258,1,22.01,21.0,137.99,11.75,120
516,1,18.04,15.0,113.5,10.65,97
1525,1,12.65,12.0,34.55,5.88,75
3326,1,15.0,11.0,152.78,12.36,252
106,1,12.88,11.0,70.4,8.39,262
3905,1,19.55,17.0,166.92,12.92,120
3087,1,15.31,13.0,96.72,9.83,161
476,1,16.19,12.0,146.72,12.11,97
3092,1,11.49,9.5,59.24,7.7,188
1120,1,17.36,16.0,95.11,9.75,185
3737,1,13.54,11.0,96.84,9.84,218
113,1,17.86,13.0,218.2,14.77,168
1487,1,11.85,10.0,71.62,8.46,246
1493,1,19.19,16.0,162.13,12.73,171
1444,1,18.15,17.0,106.4,10.32,123
3247,1,14.21,12.0,82.81,9.1,182
2171,1,14.59,14.0,71.31,8.44,78
12,1,15.78,14.0,98.57,9.93,116
701,1,14.4,13.0,98.22,9.91,96
2788,1,13.78,11.0,94.64,9.73,272
3327,1,15.92,12.0,145.56,12.06,209
3441,1,16.04,15.0,107.59,10.37,50
3469,1,16.17,12.0,193.97,13.93,178
3694,1,16.99,16.0,112.93,10.63,150
1718,1,21.79,19.0,181.27,13.46,86
2239,1,15.87,12.0,152.37,12.34,181
3127,1,14.8,13.0,70.74,8.41,81
1917,1,18.29,14.0,164.62,12.83,128
924,1,11.62,10.0,47.53,6.89,233
2013,1,11.71,9.0,90.97,9.54,139
3443,1,16.08,12.0,169.3,13.01,117
3494,1,13.58,12.0,101.08,10.05,155
688,1,14.19,12.0,78.51,8.86,203
1334,1,14.51,12.0,85.71,9.26,171
878,1,15.38,13.0,85.78,9.26,97
2198,1,21.66,18.0,227.11,15.07,135
663,1,15.79,15.0,82.08,9.06,110
2403,1,24.57,18.0,353.49,18.8,144
3735,1,13.71,12.0,74.68,8.64,253
1650,1,16.68,14.5,82.04,9.06,68
460,1,15.83,14.0,69.14,8.31,109
3907,1,22.93,19.0,291.05,17.06,97
110,1,18.22,16.0,100.67,10.03,81
1484,1,14.03,11.0,105.7,10.28,193
3522,1,15.17,14.5,94.73,9.73,52
2166,1,14.53,12.0,83.86,9.16,260
845,1,18.36,14.0,230.24,15.17,166
1309,1,12.88,11.0,55.36,7.44,122
3442,1,18.07,12.0,258.7,16.08,173
2984,1,15.31,12.0,112.5,10.61,135
919,1,19.69,17.0,181.83,13.48,116
2774,1,16.01,15.0,88.57,9.41,140
3683,1,15.3,12.0,119.82,10.95,173
3126,1,20.52,19.0,117.74,10.85,168
2210,1,14.4,14.0,77.51,8.8,86
1742,1,12.85,12.0,61.56,7.85,220
215,1,12.65,9.0,139.12,11.79,197
3800,1,13.81,11.0,215.68,14.69,132
3425,1,13.84,10.0,121.36,11.02,176
3357,1,18.74,18.0,102.31,10.11,163
3419,1,16.41,11.0,192.39,13.87,140
3380,1,12.32,10.0,63.25,7.95,227
3394,1,18.62,15.0,175.06,13.23,146
3237,1,12.61,11.0,55.69,7.46,273
2883,1,16.26,14.0,120.39,10.97,163
62,1,16.24,14.0,106.39,10.31,181
3021,1,10.6,8.0,70.23,8.38,308
3974,1,10.69,8.5,56.55,7.52,84
3961,1,15.53,13.0,123.71,11.12,180
3587,1,14.55,12.0,106.85,10.34,166
610,1,17.28,14.0,143.91,12.0,162
88,1,15.7,13.0,126.2,11.23,128
1409,1,13.36,11.0,78.79,8.88,165
1435,1,14.12,10.0,161.06,12.69,178
1347,1,14.48,12.0,134.69,11.61,134
994,1,14.17,12.0,74.26,8.62,181
764,1,15.01,12.5,99.59,9.98,72
943,1,18.5,17.0,158.13,12.58,155
3829,1,12.62,11.0,66.4,8.15,191
200,1,11.07,9.0,59.37,7.71,257
2276,1,17.95,17.0,114.0,10.68,142
1031,1,13.75,11.0,110.49,10.51,133
1999,1,19.91,17.0,213.8,14.62,145
1782,1,19.51,19.0,101.43,10.07,139
202,1,15.45,14.0,90.71,9.52,139
1972,1,20.17,17.5,182.08,13.49,72
3340,1,13.06,12.0,67.5,8.22,176
3426,1,17.71,15.0,130.43,11.42,259
955,1,15.56,13.0,150.74,12.28,163
3368,1,19.0,18.0,132.55,11.51,52
2062,1,18.14,16.0,130.78,11.44,309
996,1,22.49,21.0,132.03,11.49,100
982,1,13.32,11.5,64.69,8.04,108
3546,1,12.29,10.0,84.03,9.17,245
2658,1,8.85,7.0,41.24,6.42,325
2894,1,12.88,11.0,64.3,8.02,170
2102,1,17.06,16.0,105.84,10.29,64
3591,1,14.04,11.0,140.67,11.86,205
148,1,11.24,9.0,63.81,7.99,217
1153,1,16.3,11.5,175.78,13.26,178
2466,1,11.49,10.0,38.58,6.21,176
1190,1,19.07,17.0,110.15,10.5,152
410,1,18.14,16.0,153.94,12.41,164
1807,1,12.25,10.5,55.79,7.47,100
1813,1,20.76,18.0,156.84,12.52,110
3745,1,17.42,15.0,135.18,11.63,110
3584,1,13.8,11.0,79.88,8.94,109
161,1,17.84,15.5,200.05,14.14,102
3209,1,12.64,11.0,76.11,8.72,240
834,1,21.75,20.0,181.2,13.46,110
74,1,13.46,9.0,135.62,11.65,183
767,1,16.62,13.0,124.04,11.14,151
3802,1,14.15,12.5,112.09,10.59,158
559,1,15.88,15.0,69.58,8.34,153
565,1,19.31,16.0,166.79,12.91,91
3194,1,14.64,12.0,110.9,10.53,70
1026,1,19.08,13.5,277.43,16.66,168
2271,1,14.23,12.0,66.62,8.16,193
2265,1,19.68,19.0,108.49,10.42,111
3806,1,16.05,11.0,212.94,14.59,170
3190,1,13.63,9.5,130.65,11.43,136
561,1,19.38,19.0,145.6,12.07,82
950,1,12.91,10.5,92.32,9.61,160
1208,1,21.39,19.0,136.47,11.68,36
1234,1,13.08,11.0,91.1,9.54,230
1585,1,12.52,10.5,87.11,9.33,132
3386,1,12.28,10.0,86.14,9.28,61
2107,1,24.87,15.0,616.61,24.83,122
2661,1,19.27,17.0,171.31,13.09,73
2675,1,17.31,15.0,168.55,12.98,61
2113,1,15.42,14.0,100.05,10.0,174
1432,1,18.19,15.0,149.31,12.22,112
1354,1,16.05,14.0,96.95,9.85,103
3543,1,13.2,11.0,76.76,8.76,243
3594,1,13.69,11.0,93.73,9.68,210
2852,1,11.71,9.0,58.27,7.63,153
2463,1,20.37,20.0,106.13,10.3,100
3769,1,17.22,15.5,99.34,9.97,268
1630,1,14.84,12.0,135.64,11.65,261
415,1,13.38,12.5,74.18,8.61,74
414,1,19.45,16.0,206.34,14.36,113
2489,1,20.74,13.0,407.06,20.18,116
3797,1,11.29,8.0,76.25,8.73,134
3783,1,14.29,12.5,64.15,8.01,34
1619,1,14.93,12.0,102.21,10.11,134
616,1,14.16,10.0,137.16,11.71,209
1341,1,13.72,12.0,83.49,9.14,200
1355,1,13.71,10.0,123.24,11.1,116
825,1,24.51,25.5,236.05,15.36,78
1590,1,16.97,15.0,129.97,11.4,122
3393,1,16.71,15.0,108.55,10.42,182
2933,1,17.61,13.0,194.4,13.94,134
1553,1,28.21,24.5,414.68,20.36,52
3191,1,16.88,14.0,131.38,11.46,165
1745,1,13.37,11.0,98.59,9.93,230
2516,1,16.48,15.0,101.54,10.08,141
3608,1,11.51,9.0,54.36,7.37,79
2272,1,16.86,14.0,120.29,10.97,81
3636,1,16.33,13.0,153.87,12.4,116
2299,1,18.45,17.0,130.35,11.42,143
3193,1,16.66,13.5,133.98,11.57,138
3346,1,12.66,13.0,55.85,7.47,85
2925,1,12.77,10.0,143.62,11.98,66
2851,1,12.54,11.0,47.53,6.89,165
3583,1,17.07,14.0,137.77,11.74,197
2845,1,19.71,16.5,218.54,14.78,80
600,1,11.21,9.0,77.88,8.82,252
2312,1,15.6,11.0,183.08,13.53,127
2306,1,18.42,16.0,123.67,11.12,118
2460,1,11.95,9.0,91.85,9.58,189
2448,1,17.07,13.0,168.62,12.99,135
3742,1,13.95,10.0,162.29,12.74,274
1814,1,15.95,14.0,96.56,9.83,122
3965,1,11.88,10.0,65.16,8.07,205
1828,1,15.47,13.0,103.95,10.2,201
364,1,16.0,13.0,132.69,11.52,175
365,1,15.86,13.0,109.22,10.45,88
359,1,15.06,13.0,76.82,8.76,106
3964,1,19.92,16.0,167.62,12.95,192
1632,1,10.67,9.0,56.41,7.51,252
2461,1,16.23,14.0,92.84,9.64,79
2844,1,15.31,13.0,109.65,10.47,61
1381,1,14.33,11.0,110.67,10.52,118
1430,1,15.89,13.0,105.43,10.27,96
1342,1,11.4,10.0,53.68,7.33,144
2924,1,25.62,23.0,313.79,17.71,95
985,1,17.46,16.0,124.65,11.16,67
1222,1,14.44,12.0,85.28,9.23,192
3186,1,17.11,15.0,81.96,9.05,99
205,1,13.91,9.0,119.43,10.93,47
1975,1,13.15,12.0,109.73,10.48,142
3151,1,9.94,8.0,79.79,8.93,279
1752,1,17.56,15.0,85.63,9.25,79
3145,1,13.88,13.0,74.29,8.62,57
1777,1,20.66,17.0,230.37,15.18,151
1011,1,17.83,15.0,137.23,11.71,151
585,1,8.25,7.0,29.47,5.43,285
591,1,12.56,9.0,96.07,9.8,228
2524,1,21.13,20.0,214.14,14.63,149
1367,1,23.23,18.0,357.93,18.92,111
1401,1,18.7,14.5,191.37,13.83,132
5,1,14.01,11.5,77.19,8.79,224
2120,1,15.23,13.0,101.01,10.05,168
2646,1,17.04,15.0,116.23,10.78,115
630,1,14.07,13.0,63.24,7.95,183
2861,1,12.81,11.0,67.9,8.24,167
94,1,17.13,13.0,180.16,13.42,104
3772,1,18.84,18.0,150.16,12.25,141
1165,1,13.27,10.0,91.45,9.56,215
3996,1,15.14,12.0,153.28,12.38,220
354,1,10.86,9.0,40.14,6.34,364
368,1,17.22,13.0,177.27,13.31,149
3799,1,12.22,10.0,63.42,7.96,195
3941,1,20.72,17.0,311.3,17.64,145
2486,1,17.2,16.0,126.62,11.25,166
3940,1,16.41,15.0,96.69,9.83,144
369,1,15.25,13.5,77.1,8.78,100
3968,1,25.79,26.0,208.39,14.44,38
1164,1,16.32,10.0,206.3,14.36,121
81,1,13.99,12.0,85.02,9.22,324
2684,1,15.47,11.0,220.75,14.86,45
95,1,14.18,11.0,102.52,10.13,147
2653,1,14.91,13.0,73.15,8.55,33
976,1,21.79,21.0,192.3,13.87,73
3439,1,11.92,10.0,74.31,8.62,270
1789,1,13.14,11.0,85.44,9.24,225
553,1,16.49,14.0,106.41,10.32,89
3149,1,14.69,14.0,98.02,9.9,146
592,1,19.01,16.5,184.19,13.57,120
586,1,16.09,14.0,100.59,10.03,144
2255,1,16.7,17.0,70.6,8.4,135
2533,1,17.85,17.0,155.57,12.47,105
237,1,15.56,12.0,133.03,11.53,146
3822,1,17.65,16.0,128.55,11.34,159
2282,1,13.14,11.0,62.7,7.92,182
3349,1,18.91,15.0,282.04,16.79,91
2902,1,20.8,16.5,265.2,16.28,122
1416,1,19.46,16.0,197.64,14.06,164
3573,1,17.83,15.0,140.96,11.87,208
141,1,17.17,15.0,135.46,11.64,221
2876,1,13.7,9.0,150.48,12.27,199
633,1,17.49,12.0,213.3,14.6,47
380,1,15.62,13.0,97.02,9.85,162
394,1,17.34,16.0,119.54,10.93,185
3995,1,18.75,16.0,132.26,11.5,150
3770,1,11.76,11.0,41.3,6.43,160
2863,1,14.38,12.0,88.25,9.39,114
2136,1,23.2,16.0,465.73,21.58,121
829,1,16.28,13.0,145.43,12.06,144
1371,1,18.8,18.0,110.54,10.51,118
3200,1,21.95,19.0,185.37,13.61,131
961,1,14.2,12.0,110.77,10.52,332
975,1,22.73,19.0,312.85,17.69,124
3406,1,17.35,14.0,171.35,13.09,60
1952,1,17.04,14.0,154.93,12.45,120
3189,1,15.13,14.0,89.96,9.48,108
236,1,14.84,11.0,136.9,11.7,304
3600,1,16.2,13.0,159.14,12.62,218
2287,1,16.27,13.0,123.43,11.11,176
232,1,19.31,15.0,218.59,14.78,102
2052,1,17.24,17.0,114.42,10.7,45
971,1,16.9,14.0,135.99,11.66,97
2046,1,14.6,12.0,113.58,10.66,112
1567,1,13.47,12.0,81.21,9.01,185
795,1,15.93,13.0,134.71,11.61,199
1598,1,14.12,11.0,109.15,10.45,273
742,1,16.64,14.0,101.96,10.1,135
805,1,12.29,11.0,59.62,7.72,274
2654,1,11.0,11.0,54.65,7.39,130
2132,1,17.2,15.0,122.46,11.07,108
1407,1,21.23,18.0,175.95,13.26,178
2442,1,15.0,11.0,134.53,11.6,229
3760,1,18.86,17.0,89.18,9.44,160
420,1,16.96,15.0,64.22,8.01,114
346,1,11.03,8.0,86.75,9.31,304
353,1,17.29,13.0,285.55,16.9,193
3761,1,20.44,17.0,198.57,14.09,175
1610,1,14.21,12.0,124.86,11.17,140
2325,1,13.52,11.0,77.67,8.81,125
145,1,13.6,11.0,114.07,10.68,252
1406,1,14.17,12.5,77.54,8.81,218
2655,1,17.2,15.0,78.09,8.84,61
780,1,13.89,12.0,70.46,8.39,135
958,1,15.97,13.0,138.49,11.77,152
1016,1,13.38,8.0,179.58,13.4,107
3601,1,17.04,14.0,150.6,12.27,133
3173,1,21.9,18.0,361.88,19.02,105
594,1,18.37,15.0,157.87,12.56,78
2284,1,16.9,15.0,120.09,10.96,98
2723,1,19.87,15.5,185.42,13.62,90
3415,1,11.86,10.0,61.25,7.83,286
796,1,21.77,14.0,443.37,21.06,115
769,1,21.93,16.0,334.78,18.3,121
755,1,26.22,22.0,313.13,17.7,97
806,1,16.02,13.0,167.4,12.94,88
1404,1,15.0,12.0,124.06,11.14,226
3575,1,13.4,11.0,66.58,8.16,194
3993,1,17.43,17.5,125.58,11.21,40
2482,1,18.93,16.0,209.15,14.46,156
3944,1,13.83,13.0,72.46,8.51,205
1809,1,15.21,12.0,111.67,10.57,190
2497,1,18.74,15.0,181.06,13.46,117
387,1,18.5,15.0,209.46,14.47,176
3762,1,16.49,16.0,100.04,10.0,87
1161,1,11.71,9.0,83.75,9.15,265
1607,1,15.94,12.0,167.82,12.95,124
1149,1,15.06,13.0,98.03,9.9,183
3992,1,20.63,20.0,120.67,10.99,79
2454,1,19.89,19.0,157.71,12.56,123
84,1,13.1,11.0,79.27,8.9,219
608,1,21.2,19.5,143.67,11.99,66
3399,1,15.37,13.0,114.52,10.7,157
3414,1,18.92,18.0,112.94,10.63,141
1571,1,14.79,13.0,99.04,9.95,185
3400,1,14.79,12.0,112.8,10.62,168
783,1,18.09,16.0,113.57,10.66,115
3428,1,13.59,12.0,71.84,8.48,196
2736,1,16.3,13.0,151.23,12.3,172
1559,1,17.64,16.0,91.51,9.57,149
2044,1,18.63,15.0,135.91,11.66,43
3602,1,20.61,19.0,129.62,11.39,95
1029,1,22.5,17.5,298.8,17.29,100
294,1,17.1,14.5,121.92,11.04,138
3881,1,13.79,13.0,50.92,7.14,157
531,1,20.87,17.0,179.64,13.4,119
2584,1,15.06,13.0,114.0,10.68,139
3315,1,16.21,14.0,117.67,10.85,149
1502,1,15.52,14.0,70.78,8.41,149
3329,1,17.98,15.0,153.44,12.39,116
3513,1,12.79,11.0,60.46,7.78,187
1338,1,16.14,14.5,101.24,10.06,112
135,1,16.25,15.0,78.36,8.85,154
2180,1,16.44,14.0,149.93,12.24,220
486,1,16.26,14.5,102.67,10.13,190
1112,1,11.38,8.5,82.75,9.1,56
3088,1,20.77,20.0,155.33,12.46,69
1853,1,19.43,13.5,326.29,18.06,136
1113,1,19.83,18.0,128.51,11.34,183
134,1,14.68,11.0,111.57,10.56,150
2817,1,14.95,12.0,98.94,9.95,95
1305,1,18.68,15.0,183.65,13.55,171
2744,1,19.84,18.0,128.54,11.34,45
3843,1,19.34,17.5,142.55,11.94,186
3116,1,14.19,12.5,79.57,8.92,232
281,1,12.29,10.0,55.45,7.45,198
3114,1,13.72,11.0,97.97,9.9,137
3128,1,14.83,12.0,101.61,10.08,156
2222,1,18.98,17.0,144.41,12.02,131
3869,1,15.26,14.0,86.09,9.28,192
1501,1,12.19,11.0,45.66,6.76,210
1273,1,16.8,15.0,103.54,10.18,137
2020,1,33.39,28.0,677.43,26.03,104
1529,1,12.01,10.0,61.65,7.85,224
730,1,12.02,10.0,68.53,8.28,324
650,1,16.39,12.0,209.76,14.48,118
1677,1,16.26,12.0,132.66,11.52,86
491,1,13.69,13.0,71.52,8.46,150
1893,1,21.22,18.0,263.99,16.25,86
1887,1,17.55,13.0,172.21,13.12,100
3920,1,9.65,8.0,60.33,7.77,104
1879,1,15.81,13.0,123.69,11.12,126
453,1,11.12,8.0,79.46,8.91,119
1110,1,12.16,9.0,77.72,8.82,231
2182,1,14.02,9.0,187.98,13.71,173
2814,1,19.6,17.0,164.47,12.82,130
2155,1,17.31,14.0,149.42,12.22,179
2627,1,15.08,11.5,165.76,12.87,108
2035,1,14.24,13.0,77.86,8.82,178
3317,1,14.38,14.0,82.37,9.08,125
1931,1,13.61,11.0,86.14,9.28,254
3698,1,14.76,13.0,92.72,9.63,117
2586,1,14.06,12.0,82.19,9.07,139
2592,1,14.37,13.0,66.86,8.18,166
2551,1,15.08,12.0,118.35,10.88,182
2237,1,18.24,16.0,97.14,9.86,89
282,1,15.07,14.0,63.43,7.96,107
2579,1,14.59,13.0,87.44,9.35,153
3667,1,17.77,16.0,166.74,12.91,163
1070,1,13.64,12.0,74.19,8.61,90
296,1,28.25,22.0,516.56,22.73,60
2233,1,15.26,14.0,96.14,9.8,180
2555,1,16.55,13.0,134.15,11.58,98
2582,1,16.26,14.0,118.16,10.87,136
245,1,11.13,8.0,94.4,9.72,129
912,1,14.58,14.0,95.05,9.75,131
906,1,17.27,14.0,120.63,10.98,116
1510,1,18.46,15.0,224.51,14.98,134
3307,1,16.67,13.0,149.1,12.21,209
1276,1,15.9,10.0,192.07,13.86,175
709,1,17.78,16.0,136.23,11.67,100
2794,1,15.76,12.0,130.8,11.44,85
2970,1,10.33,8.0,50.76,7.12,240
3529,1,17.01,11.5,237.16,15.4,74
3501,1,16.45,14.0,97.29,9.86,105
2179,1,12.46,10.0,65.81,8.11,202
2810,1,15.59,12.0,135.79,11.65,172
1100,1,19.27,18.0,179.86,13.41,96
319,1,15.35,12.0,127.72,11.3,159
3930,1,16.85,16.0,88.48,9.41,194
1699,1,19.05,16.0,211.41,14.54,191
3919,1,12.92,10.0,78.17,8.84,123
1101,1,20.97,19.0,211.15,14.53,130
3064,1,21.97,17.5,211.53,14.54,124
1288,1,20.82,20.0,155.92,12.49,115
2795,1,11.77,9.0,92.53,9.62,86
708,1,18.45,17.0,145.22,12.05,102
3306,1,12.02,10.0,66.93,8.18,100
1505,1,19.39,14.0,282.94,16.82,113
3676,1,17.05,13.0,126.85,11.26,76
2224,1,19.13,17.0,160.64,12.67,89
2230,1,18.96,16.0,150.06,12.25,199
2218,1,16.98,15.0,113.36,10.65,172
285,1,9.62,9.0,23.4,4.84,58
520,1,11.34,9.0,62.67,7.92,201
252,1,22.04,18.0,290.2,17.04,150
1275,1,14.03,11.0,91.44,9.56,103
1261,1,17.55,16.0,115.53,10.75,140
3476,1,14.67,11.0,138.56,11.77,55
2152,1,17.07,14.5,169.74,13.03,176
3516,1,22.98,16.0,409.42,20.23,126
2185,1,14.97,13.0,99.8,9.99,71
3072,1,19.71,16.0,206.54,14.37,162
1842,1,15.6,14.0,92.37,9.61,67
468,1,16.88,15.0,142.31,11.93,245
2386,1,18.88,16.0,156.22,12.5,180
1664,1,22.2,21.0,210.3,14.5,74
2423,1,22.37,19.0,226.25,15.04,119
3729,1,14.04,11.0,126.33,11.24,224
131,1,14.38,12.0,63.18,7.95,63
680,1,13.39,10.0,113.14,10.64,110
694,1,18.43,18.5,103.57,10.18,42
1328,1,16.22,14.0,108.76,10.43,243
30,1,14.41,13.0,87.58,9.36,131
904,1,14.62,14.0,75.11,8.67,118
3339,1,16.28,13.0,141.84,11.91,168
1923,1,11.74,10.0,58.97,7.68,239
3675,1,13.18,11.0,88.82,9.42,55
3661,1,16.22,9.0,371.27,19.27,189
